floss	ADA	Dental Floss/Interdental Cleaners	https://www.ada.org/resources/ada-library/oral-health-topics/floss
hygiene	NIDCR	Oral Hygiene	https://www.nidcr.nih.gov/health-info/oral-hygiene
sensitive	ADA / MouthHealthy	Sensitive Teeth	https://www.mouthhealthy.org/all-topics-a-z/sensitive-teeth
toothpaste	ADA	Toothpastes	https://www.ada.org/resources/ada-library/oral-health-topics/toothpastes
pain	NHS	Toothache	https://www.nhs.uk/symptoms/toothache/
gum	NIDCR	Gum Disease	https://www.nidcr.nih.gov/health-info/gum-disease
periodontitis	ADA	Periodontitis	https://www.ada.org/resources/ada-library/oral-health-topics/periodontitis
abscess	NHS	Dental abscess	https://www.nhs.uk/conditions/dental-abscess/
antibiotics	ADA	Antibiotic Stewardship	https://www.ada.org/resources/ada-library/oral-health-topics/antibiotic-stewardship
root	NHS	Root canal treatment	https://www.nhs.uk/tests-and-treatments/root-canal-treatment/
implants	ADA / MouthHealthy	Implants	https://www.mouthhealthy.org/all-topics-a-z/implants
bridges	ADA / MouthHealthy	Bridges	https://www.mouthhealthy.org/all-topics-a-z/bridges
orthodontics	NHS	Braces (orthodontics)	https://www.nhs.uk/tests-and-treatments/braces/
tmd	NIDCR	TMD (Temporomandibular Disorders)	https://www.nidcr.nih.gov/health-info/tmd
whitening	ADA	Whitening	https://www.ada.org/resources/ada-library/oral-health-topics/whitening
breath	NHS	Bad breath	https://www.nhs.uk/symptoms/bad-breath/
dry	NIDCR	Dry Mouth	https://www.nidcr.nih.gov/health-info/dry-mouth
aging	ADA	Aging and Dental Health	https://www.ada.org/resources/ada-library/oral-health-topics/aging-and-dental-health
brux	NIDCR	Bruxism	https://www.nidcr.nih.gov/health-info/bruxism
wisdom	NHS	Wisdom tooth removal	https://www.nhs.uk/tests-and-treatments/wisdom-tooth-removal/
trauma	NHS	Knocked-out tooth	https://www.nhs.uk/conditions/knocked-out-tooth/
fillings	NIDCR	Dental Fillings	https://www.nidcr.nih.gov/health-info/dental-fillings
caries	ADA	Caries Risk Assessment and Management	https://www.ada.org/resources/ada-library/oral-health-topics/caries-risk-assessment-and-management
decay	NIDCR	Tooth Decay	https://www.nidcr.nih.gov/health-info/tooth-decay
fluoride	ADA	Fluoride: Topical and Systemic Supplements	https://www.ada.org/resources/ada-library/oral-health-topics/fluoride-topical-and-systemic-supplements
sealants	ADA / MouthHealthy	Sealants	https://www.mouthhealthy.org/all-topics-a-z/sealants
mouthwash	ADA	Mouthrinse (Mouthwash)	https://www.ada.org/resources/ada-library/oral-health-topics/mouthrinse-mouthwash
pregnancy	ADA	Pregnancy	https://www.ada.org/resources/ada-library/oral-health-topics/pregnancy
diabetes	NIDCR	Diabetes & Oral Health	https://www.nidcr.nih.gov/health-info/diabetes
oralcancer	NIDCR	Oral Cancer	https://www.nidcr.nih.gov/health-info/oral-cancer
cardiacprophylaxis	ADA	Antibiotic Prophylaxis Prior to Dental Procedures	https://www.ada.org/resources/ada-library/oral-health-topics/antibiotic-prophylaxis
nutrition	ADA	Nutrition and Oral Health	https://www.ada.org/resources/ada-library/oral-health-topics/nutrition-and-oral-health
tobacco	ADA	Tobacco Use and Cessation	https://www.ada.org/resources/ada-library/oral-health-topics/tobacco-use-and-cessation
teething	ADA / MouthHealthy	Teething	https://www.mouthhealthy.org/all-topics-a-z/teething
remin	NIDCR	The Tooth Decay Process: How to Reverse It and Avoid a Cavity	https://www.nidcr.nih.gov/health-info/tooth-decay/more-info/tooth-decay-process
sleep	NHS	Sleep apnoea	https://www.nhs.uk/conditions/sleep-apnoea/
hpv	NCI	HPV and Cancer	https://www.cancer.gov/about-cancer/causes-prevention/risk/infectious-agents/hpv-and-cancer
noma	WHO	Noma	https://www.who.int/news-room/fact-sheets/detail/noma
heart	American Heart Association	Periodontal Disease and Atherosclerotic Cardiovascular Disease: Top Things to Know (2025)	https://professional.heart.org/en/science-news/periodontal-disease-and-atherosclerotic-cardiovascular-disease/top-things-to-know
microbiome	Baker JL, Mark Welch JL, Kauffman KM, McLean JS, He X	The oral microbiome: diversity, biogeography and human health. Nature Reviews Microbiology. 2024;22:89–104. Published online 2023. DOI: 10.1038/s41579-023-00963-6	https://doi.org/10.1038/s41579-023-00963-6
efp	European Federation of Periodontology	Clinical guidelines: Prioritising evidence-based periodontitis treatment	https://www.efp.org/education/continuing-education/clinical-guidelines/
